,name,price,description,link
10,MacBook Pro 14 M3 Max(40c) 128GB 2TB в Москве,494900,"MacBook Pro 14.2"" 2023 M3 Max(14c Cpu, 30c Gpu) 128GB 20128GB (2TB) Z1aw0000w Space black (Космический чёрный) Usa/HK.

— Apple M3 Max с 14‑ядерным процессором, 40‑ядерным графическим процессором, 16‑ядерной системой Neural Engine.
— 128 ГБ объединённой памяти.
— Ssd‑накопитель ёмкостью 20128 ГБ (2 ТБ).
— Адаптер питания Usb‑C мощностью 70 Вт.
— Дисплей Liquid Retina Xdr 14 дюймов.
— Три порта Thunderbolt 4, порт Hdmi, слот для карт Sdxc, разъём питания magsafe 3.
— Клавиатура Magic Keyboard с Touch ID и подсветкой, только английская раскладка.
— Трекпад Force Touch.

Apple в наличии в Москве на Горбушке.
Купить MacBook Pro 14.2"" дюймов, Early 2023 на M3 Max(14c Cpu, 30c Gpu) 128GB 20128GB (2TB), оригинал в заводской упаковке, Модель: A0000.

Способы оплаты:
— наличные (переводы не принимаем).
— через Тинькофф по QR-коду (снятие наличных) для регионов.
— банковской картой через терминал +8%.
— банковской картой онлайн +15%.
— безналичный расчёт +15% без Ндс.
— в рассрочку, в кредит через Сбербанк +20% годовых к стоимости товара. (оформляется в магазине, по карте Сбербанка).

Купить или заказать с доставкой ноутбук Apple MacBook Pro 14"" 2023 M3 Max(14c Cpu, 30c Gpu) 128GB 20128GB (2TB).

Доставка.
— в пределах Мкад — от 600 рублей.
— в регионы отправляем сдэком после 100% оплаты.

Товарный, кассовый чек.

Самовывоз.
Москва, ул. Барклая, д. 8, Трц ""Горбушка"" (метро Багратионовская).
1.5 этаж, павильон №511.

Режим Работы: с 10:00 до 20:00.

Резерв.
Убедительно просим Вас ставить интересующий товар в резерв. Товар в резерве до конца рабочего дня, спасибо за понимание. Не откладывайте на завтра, то что можно купить сегодня.

Нашли дешевле? Готовы обсудить цену ниже конкурентов!

Почему так дешево? В чем же подвох?
Ценовая политика нашего магазина основывается на принципах минимальной стоимости любого из аппаратов в рамках рынка.
Мы не тратим деньги на телевизионную и другие виды рекламы широкого охвата, что автоматически позволяет исключать все затраты из конечной стоимости товара. Кроме того, прямые оптовые поставки из разных стран позволяют формировать лучшие ценовые предложения в рамках рынка.
В отличие от крупных торговых сетей мы не платим миллионы рублей за аренду торговых точек в тысячах торговых центров. Также мы поддерживаем оптимальный штат сотрудников, позволяющий не раздувать зарплатную ведомость и с максимальной эффективностью использовать имеющихся специалистов.

Cамый дешевый MacBook Pro.",https://www.avito.ru/moskva/noutbuki/macbook_pro_14_m3_max40c_128gb_2tb_3763801083
11,"MacBook Pro 16 (2023), 512 ГБ, M2 Pro (12 ядер), RAM 16 ГБ, GPU 19-core в Москве",214990,"Срочная Продажа!

Новый. Заводская Упаковка.

· Оригинальный ноутбук с гарантией 1 год.

· MacBook Pro 16 2023 года на M2 Pro процессоре. (10cpu/19gpu/16ram).

· Вся продукция Apple не активирована.

– Silver.

– английская (американская) раскладка.

· Не рст, оригинал.",https://www.avito.ru/moskva/noutbuki/macbook_pro_16_m2_pro_512gb_2023_2979608363
12,"MacBook Pro 14 (2023), 512 ГБ, M2 Pro (10 ядер), RAM 16 ГБ, GPU 16-core в Москве",162000,"Полный комплект. Так же отдам чехлы от него. +переходник на российскую вилку для Блока Питания.
Русифицирована клавиатура.

Циклов заряда: 18, аккумулятор 100%. Большую часть времени работал от сети + ставил ограничение зарядки до 80% (он итак держит полный рабочий день с легкостью).

Ноутбук в хорошем состоянии, царапин нет.
Снизу остался ""рисунок"" от чехла для ноутбука (на фото). Клавиатура местами затерта (на фото видно по пробелу).
Цвет Space Gray.

Куплен и активирован: 11.10.2023.

Любые проверки. Mdm профиль отсутствует.
Приобретался в Macaroon Store, имеется от них гарантия до 11.10.2024.

Продаю в связи с переходом на 16"" модель.

Разумный торг уместен.",https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_2023_m2_pro_1016_core_16512gb_3805494804
13,"MacBook Pro 14 (2023), 8192 ГБ, M2 Max (12 ядер), RAM 96 ГБ, GPU 38-core в Москве",422000,"Абсолютно новые США.

Cамовывoз дo 19:00 бeз выxoдных.

Авито доставкой отправляем Сдэком.

— Производительная платформа с процессором M2 Max.

— Панель Liquid Retina Xdr размером 14 дюймов.

— Переменная частота обновления экрана promotion 120 Гц.

— Долговечная клавиатура Magic Keyboard с механическими ножничными переключателями.

— Емкий твердотельный накопитель объемом 8 ТБ.

ЖК-дисплей Liquid Retina Xdr от Apple объединяет в себе инновационные технологии отображения. Он оснащен мини-Led подсветкой, высокие характеристики Tft и Hdr-панель с максимальной яркостью в 1600 нит. Этот дисплей размером 14,2 дюйма имеет разрешение 3024p на 1964p и плотность пикселей 254 ppi. При постоянной яркости 1000 нит, он также может повышать ее до 1600 нит для поддержки Hdr-контента. Производительность дисплея promotion с частотой обновления 120 Гц динамически адаптируется к содержимому экрана, обеспечивая наилучшее отображение. Пользователи, нуждающиеся в фиксированной частоте обновления для редактирования видео или другого контента, могут настроить параметры дисплея по своему усмотрению.

Мини-светодиодная подсветка — это полшага от стандартной светодиодной до Oled. Она обеспечивает более высокий коэффициент контрастности 1 000 000: 1 с глубоким черным цветом и точной цветопередачей.

Своим впечатляющим возможностям новый макбук Про 14 дюймов обязан самому мощному процессору Apple Silicon последнего поколения. Представленный в этом обзоре Mac Pro 2023 построен на базе чипа M2 Max, который обладает самыми впечатляющими возможностями в плане скорости работы, графической обработки и коммуникации. Новый процессор объединяет 12-ядерный ЦП, 30-ядерный ГП и 16-ядерную нейронную систему в единую компонентную базу на кристалле. Поддержка оперативной памяти объемом до 96 ГБ (для процессоров M2 Max с 38-ядерной Gpu) и ее пропускная способность 400 ГБ/с дает впечатляющий прирост вычислительной скорости и графической производительности. Емкость Ssd составляет 8 ТБ. При необходимости вы найдете в нашем каталоге более доступные кастомные версии макбук 2023 с оперативной памятью и хранилищем меньшего объема.

Наличие 67 миллиардов транзисторов, что более чем в 3 раза больше, чем чипа M2, позволяет мгновенно загружать огромные массивы данных и одновременно работать в нескольких профессиональных программах. M2 Max оснащён таким же 12-ядерным процессором нового поколения, что и M2 Pro в максимальной конфигурации, а вот графическая система стала намного производительнее. По сравнению с чипом М1 Макс скорость обработки графики повысилась на 30 процентов.

Внутренняя конструкция ноутбука была изменена, чтобы обеспечить на 50 % больший поток воздуха по сравнению с 13-дюймовой моделью даже при низкой скорости вращения вентилятора.",https://www.avito.ru/moskva/noutbuki/novyy_apple_macbook_pro_14_2023_m2_max_96gb_8tb_3604676574
14,"MacBook Pro 16 (2023), 2048 ГБ, M3 Max (16 ядер), RAM 128 ГБ, GPU 40-core в Москве",580000,"Абсолютно новый запечатанный неактивированный Apple MacBook Pro 16 2023 M3 Max/16c Cpu/40c Gpu/128 GB/2 TB Ssd/ Space Black. В наличии, в Москве, можете подъехать и купить. Возможен обмен на вашу технику Apple. Могу выставить счет на оплату, плюс 10% к стоимости.",https://www.avito.ru/moskva/noutbuki/macbook_pro_16_2023_m3_max128_gb2_tb_ssdnew_3691118908
15,Macbook Pro 14 “16” M1/М2 2023 в Москве,163000,"Можно больше не искать, тут дешевле.

У нас только новые оригинальные гаджеты от Apple.

Не активированный и не восстановленный.

Заводские пломбы на упаковке.

Связи с курсом доллара цены могут отличаться. Уточняйте актуальные цены!

Оптом и розница.

Любая проверка на оригинальность перед покупкой.

Работаем по системе Trade-in(сдай старое и приобрети с доплатой новое).

Предоставляем товарный чек.

Постоянным клиентом скидка.

Бронь товара на час без предоплаты.

Просьба предупреждать о выезде заблаговременно, так как товара может не оказаться.

О наличии и стоимости, Вы можете уточнить по телефону и в личных сообщениях.

Гарантия:

7дней на заводской брак, со дня покупки.

Год на сервисное обслуживания.

Способ оплаты:

наличными.

Через Тинькофф по QR-коду (снятие наличных) для регионов.

Оплата банковской картой через пост терминал +9%.

Без наличный расчёт с юр. Лицами +10% без Ндс.

Доставка:

Доставка по Москве нашими курьерами (условия оформление доставки: оплачиваете сразу стоимость доставки, остальную сумму после получения товара).

—От 500₽.

Отправка в регионы через Сдэк(при условии полной оплаты).

Звоните И Пишите 24/7.

Поможем с выбором и про консультируем.

Самовывоз.

Москва м. Багратионовская, Барклая 8.

ТЦ «Горбушка» полуторный этаж (А сектор) номер магазина (508) 5 минут от метро.

Имеется паркинг.",https://www.avito.ru/moskva/noutbuki/macbook_pro_14_16_m1m2_2023_2841401866
16,"MacBook Pro 14 (2023), 512 ГБ, M2 Pro (10 ядер), RAM 16 ГБ, GPU 16-core в Москве",147000,"Модель — Macbook Pro Retina 14 2023 года цвет Silver. Клавиатура русская. В комплекте идет коробка, инструкции, оригинальное зарядное устройство.

Характеристики:

Процессор Apple M2 Pro.

Оперативная память 16ГБ.

Жесткий диск Apple Ssd 512GB.

Аккумулятор — 181 цикл перезарядки.

Все фото в данном объявлении именно этого устройства!

Встреча возможна на Пролетарской, при встрече — полная проверка, предоставлю все программы для тестирования.

Гарантия — всемирная гарантия Apple до 25 марта 2024 года.

Внешнее состояние ноутбука — состояние идеальное.

Отзывы и другие ноутбуки — в профиле.

Возможен обмен или выкуп вашего Macbook / imac / ipad Pro.

Возможна отправка авито доставкой.

Если надоело общаться с мошенниками, нужно просто купить мак и работать — это ваш вариант. Ноутбук в наличии, если хотите забронировать до приезда — звоните!",https://www.avito.ru/moskva/noutbuki/macbook_pro_14_2023_m2_pro_16gb_512gb_na_garantii_3844318451
17,"MacBook Pro 14 (2023), 1000 ГБ, M3 Max (14 ядер), RAM 36 ГБ, GPU 30-core в Москве",319000,"Apple MacBook Pro 14 M3 Max, 2023, 32GB, 1TB, 12-Cpu, 30-Gpu несколько штук в наличии новые полностью, цвет серый и черный.",https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_14_m3_max_2023_32gb_1tb_3896379707
18,"MacBook Pro 15 (2017), 1024 ГБ, Core i7, 3.1 ГГц, RAM 16 ГБ, Radeon Pro 560 4 ГБ в Москве",70000,"MacBook Pro 15 2017, объём Озу 16 гигабайт, 1 терабайт постоянной памяти. Заменен аккумулятор летом 2023 год, сейчас ±120 циклов перезарядки, при не сильно требовательных задачах способен прожить около 10 часов. Установлена macos Ventura, touch bar работает прекрасно, touch id тоже. Топовая версия с i7 3.1ггц и radeon pro 560 4gb, под windows запускается atomic heart на минимальных настройках. Клавиатура практически не залипает (а то, что залипает, зачастую исправляется самой macos).

Мак использовался бережно для обучения, продаю в связи с переходом на более новую модель.

Дефектов нет, видимых сколов нет (есть маленькие коцки на торцах в следствие естественной эксплуатации без чехла). Чехол с наклейками в подарок.

В комплекте оригинальное зарядное устройство, оригинальный кабель + кабель Commo (2м).

Коробка и чек есть, но в другом городе, при большой надобности могу привести позже/отправить вам доставкой.

Могу выслать дополнительные фото и видео.",https://www.avito.ru/moskva/noutbuki/macbook_pro_15_2017_i7_3.1ghz16gb1024gb_4113952709
19,"MacBook Pro 14 (2023), 512 ГБ, M3 Pro (12 ядер), RAM 18 ГБ, GPU 18-core в Москве",199000,"Коробка нетронутая, чек и гарантии имеются.

Почти новый, всего 3 месяца, на гарантии до ноября 2024 года. Без даже намеков на царапины. Причина продажи: много путешествую, хочу более легкий ноут.",https://www.avito.ru/moskva/noutbuki/macbook_m3_pro_14_2023_m3_18_gb512_ssdblack_3744691653
