,name,film_type,rating,html
82,Тайны семейной истории: погребённое прошлое,"2023, США, Драмы","6,5",https://www.ivi.ru/watch/526052
83,Где мой дом?,"2023, Казахстан, Комедии","7,5",https://www.ivi.ru/watch/515281
84,Настоящий Дед Мороз,"2023, Россия, Комедии","6,4",https://www.ivi.ru/watch/523520
85,До встречи на Венере,"2023, США, Мелодрамы","8,1",https://www.ivi.ru/watch/514421
86,Прямой эфир,"2023, Россия, Триллеры","7,3",https://www.ivi.ru/watch/490794
87,Остаться в живых,"2023, Италия, Триллеры","6,0",https://www.ivi.ru/watch/521093
88,Хотя бы в кино 2 (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","7,7",https://www.ivi.ru/watch/hotya-byi-v-kino-2
89,Схватка с Дьяволом,"2023, США, Триллеры","5,8",https://www.ivi.ru/watch/509937
90,Юра дворник,"2023, Россия, Комедии","8,1",https://www.ivi.ru/watch/509178
91,Неизвестные герои (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","7,6",https://www.ivi.ru/watch/neizvestnyie-geroi
92,Чёрный лотос,"2023, США, Боевики","6,4",https://www.ivi.ru/watch/509165
93,Синистер. Начало,"2023, США, Ужасы","5,3",https://www.ivi.ru/watch/509170
94,Кунг-фу жеребец,"2023, Китай, Комедии","9,0",https://www.ivi.ru/watch/505880
95,Мегалодон,"2023, Мексика, Ужасы","6,3",https://www.ivi.ru/watch/511414
96,Погоня за бриллиантами,"2023, США, Боевики","5,6",https://www.ivi.ru/watch/521571
97,Космос. Смерть. Роботы,"2023, Канада, Фантастика","5,6",https://www.ivi.ru/watch/516131
98,ГОК (на русском языке с английскими субтитрами),"2023, Казахстан, Боевики","7,6",https://www.ivi.ru/watch/gok
99,Подвал господина Гринберга,"2023, Россия, Триллеры","5,8",https://www.ivi.ru/watch/521937
100,Я делаю шаг,"2023, Россия, Мелодрамы","8,5",https://www.ivi.ru/watch/517046
101,Хроники панголинов,"2023, Австралия, Приключения","7,6",https://www.ivi.ru/watch/512535
102,Помилование,"2023, Россия, Драмы","7,3",https://www.ivi.ru/watch/511273
103,Дикий,"2023, Южная Корея, Боевики","6,4",https://www.ivi.ru/watch/dikij-vojna-zverej
104,Анатомия падения,"2023, Франция, Драмы","6,3",https://www.ivi.ru/watch/520612
105,Я «любила» мужа,"2023, Россия, Комедии","6,3",https://www.ivi.ru/watch/520714
106,Разбой,"2023, Россия, Боевики","6,8",https://www.ivi.ru/watch/511276
107,Будика: Королева воинов,"2023, Великобритания, Боевики","6,0",https://www.ivi.ru/watch/522658
108,О чём говорят мужчины. Простые удовольствия,"2023, Россия, Комедии","7,7",https://www.ivi.ru/watch/503408
109,Луна,"2023, Южная Корея, Фантастика","7,5",https://www.ivi.ru/watch/520278
110,Квест,"2023, Россия, Приключения","6,1",https://www.ivi.ru/watch/517192
111,Большая игра,"2023, США, Триллеры","7,3",https://www.ivi.ru/watch/523569
112,Киты: Стражи планеты,"2023, Франция, Документальные","8,3",https://www.ivi.ru/watch/513650
113,10 дней без мамы в Куршевеле,"2023, Франция, Комедии","7,5",https://www.ivi.ru/watch/511522
114,(Не)идеальные роботы,"2023, США, Мелодрамы","7,2",https://www.ivi.ru/watch/512502
115,Блуждающая Земля 2,"2023, Китай, Фантастика","7,1",https://www.ivi.ru/watch/508769
116,Игра в лифте,"2023, США, Ужасы","5,6",https://www.ivi.ru/watch/501017
117,Змеиная топь,"2023, Колумбия, Триллеры","5,4",https://www.ivi.ru/watch/514314
118,Сокровища партизанского леса,"2023, Россия, Приключения","7,5",https://www.ivi.ru/watch/510670
119,Дубай любой ценой,"2023, Казахстан, Комедии","8,1",https://www.ivi.ru/watch/515266
120,Мать. Реинкарнация,"2023, США, Ужасы","4,3",https://www.ivi.ru/watch/525099
121,Ещё одна настоящая любовь,"2023, США, Драмы","7,7",https://www.ivi.ru/watch/509933
122,Не буди во мне киллера,"2023, Франция, Комедии","6,7",https://www.ivi.ru/watch/511523
123,Доктор Джекилл,"2023, Великобритания, Ужасы","5,4",https://www.ivi.ru/watch/509198
124,"Иди ко мне, детка","2023, США, Мелодрамы","7,4",https://www.ivi.ru/watch/186790
125,Отзвуки прошлого,"2023, США, Вестерн","6,9",https://www.ivi.ru/watch/502083
126,Взломщик,"2023, США, Криминал","6,5",https://www.ivi.ru/watch/506002
127,Бекки в ярости,"2023, США, Боевики","6,8",https://www.ivi.ru/watch/515310
128,Неестественный отбор,"2023, Россия, Триллеры","5,0",https://www.ivi.ru/watch/521347
129,За нас с вами,"2023, Россия, Драмы","7,2",https://www.ivi.ru/watch/513299
130,"Безос. Человек, создавший Amazon","2023, США, Драмы","7,4",https://www.ivi.ru/watch/504524
131,Зомби: Из Пусана в Гангнам,"2023, Южная Корея, Ужасы","4,8",https://www.ivi.ru/watch/504314
132,Крик. Ночь перед Рождеством,"2023, США, Ужасы","5,7",https://www.ivi.ru/watch/520614
133,Только ты и я,"2023, Франция, Драмы","6,8",https://www.ivi.ru/watch/517193
134,Большая или маленькая ложь,"2023, США, Комедии","6,8",https://www.ivi.ru/watch/509168
135,Иммигрант,"2023, Россия, Боевики","6,0",https://www.ivi.ru/watch/519784
136,Каникулы off-line 3 (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","8,1",https://www.ivi.ru/watch/511528
137,Чижик-Пыжик возвращается,"2023, Россия, Семейные","8,2",https://www.ivi.ru/watch/517200
138,Переговорщик,"2023, Южная Корея, Триллеры","7,1",https://www.ivi.ru/watch/525098
139,Он – это пуля,"2023, США, Триллеры","7,0",https://www.ivi.ru/watch/513312
140,Рубеж выживания,"2023, Великобритания, Триллеры","5,4",https://www.ivi.ru/watch/513703
141,Моя большая казахская семья: Операция Бажухи (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","6,9",https://www.ivi.ru/watch/515273
142,Сквозь время,"2023, Россия, Фантастика","6,8",https://www.ivi.ru/watch/498153
143,Бесконечная свадьба (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","7,8",https://www.ivi.ru/watch/515269
144,Шала Бандиттер (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","7,8",https://www.ivi.ru/watch/shala-banditter
145,Кухня со звездами,"2023, Франция, Драмы","8,7",https://www.ivi.ru/watch/511521
146,Бери да помни,"2023, Россия, Комедии","7,5",https://www.ivi.ru/watch/519725
147,Ограбление из будущего,"2023, США, Фантастика","5,8",https://www.ivi.ru/watch/515599
148,Моя жена – киллер,"2023, США, Боевики","7,0",https://www.ivi.ru/watch/moya-zhena-killer
149,Детектив на все руки. Девичьи секреты,"2023, Россия, Детективы","7,0",https://www.ivi.ru/watch/detektiv-na-vse-ruki-devichi-sekretyi
150,Великая ирония,"2023, Франция, Мелодрамы","7,3",https://www.ivi.ru/watch/520279
151,Китти киллер,"2023, Таиланд, Боевики","6,9",https://www.ivi.ru/watch/523264
152,Загадка Евклида,"2023, Россия, Детективы","7,2",https://www.ivi.ru/watch/zagadka-evklida
153,О чём говорят незнакомцы,"2023, Испания, Драмы","8,0",https://www.ivi.ru/watch/515303
154,Бюро магических услуг,"2023, Австралия, Фэнтези","7,5",https://www.ivi.ru/watch/508186
155,Гардемарины 1787. Мир,"2023, Россия, Приключения","6,2",https://www.ivi.ru/watch/520603
156,Финт Боброва,"2023, Россия, Документальные","7,9",https://www.ivi.ru/watch/521286
157,Рождество в Городе Мастеров,"2023, Норвегия, Семейные","8,2",https://www.ivi.ru/watch/523570
158,Ищу TOQAL для мужа (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","7,4",https://www.ivi.ru/watch/514812
159,Торнадо,"2023, США, Катастрофы","6,3",https://www.ivi.ru/watch/514456
160,Преступники: Высший уровень,"2023, Великобритания, Криминал","7,3",https://www.ivi.ru/watch/523872
161,Дом тысячи дверей,"2023, США, Ужасы","5,0",https://www.ivi.ru/watch/521414
162,Кровь за кровь,"2023, Австралия, Криминал","6,1",https://www.ivi.ru/watch/513207
163,Ужас Истфилда. Первое изгнание,"2023, Австралия, Ужасы","4,8",https://www.ivi.ru/watch/511533
164,Бойся тишины,"2023, Италия, Ужасы","5,7",https://www.ivi.ru/watch/505997
165,Рассмеши меня,"2023, Россия, Комедии","4,1",https://www.ivi.ru/watch/520270
166,Влюблён без памяти,"2023, Казахстан, Комедии","7,3",https://www.ivi.ru/watch/515267
167,Париж. Всё включено,"2023, Франция, Комедии","7,9",https://www.ivi.ru/watch/parizh-vsyo-vklyucheno
168,Хитмэн,"2023, Великобритания, Боевики","4,8",https://www.ivi.ru/watch/523268
169,Ауылбайский участковый,"2023, Казахстан, Комедии","7,8",https://www.ivi.ru/watch/515196
170,Любую проблему решаем,"2023, Казахстан, Комедии","7,2",https://www.ivi.ru/watch/515268
171,13 пришествий дьявола,"2023, Италия, Триллеры","6,0",https://www.ivi.ru/watch/523261
172,Детектив на все руки. Утром проснутся не все,"2023, Россия, Детективы","6,9",https://www.ivi.ru/watch/detektiv-na-vse-ruki-utrom-prosnutsya-ne-vse
173,Что в её голове?,"2023, Казахстан, Комедии","6,9",https://www.ivi.ru/watch/515265
174,Проект «Призрак»,"2023, США, Ужасы","5,1",https://www.ivi.ru/watch/509224
175,Агент 044: Операция Гарни,"2023, Армения, Комедии","7,0",https://www.ivi.ru/watch/523155
176,Каменщик,"2023, США, Боевики","7,7",https://www.ivi.ru/watch/524909
177,Катя-Катя,"2023, Россия, Мелодрамы","8,5",https://www.ivi.ru/watch/523097
178,Той boy (на русском языке с казахскими субтитрами),"2023, Казахстан, Комедии","7,2",https://www.ivi.ru/watch/521561
179,Война миров: Вторжение,"2023, Великобритания, Фантастика","4,8",https://www.ivi.ru/watch/510681
180,В ожидании Дали,"2023, Испания, Драмы","7,8",https://www.ivi.ru/watch/512536
181,Чувства Анны,"2023, Россия, Драмы","5,9",https://www.ivi.ru/watch/510043
182,Пушистая фортуна,"2023, США, Комедии","7,5",https://www.ivi.ru/watch/526434
183,Мистер и миссис Икс,"2023, Южная Корея, Комедии","6,8",https://www.ivi.ru/watch/mister-i-missis-iks
184,Три мушкетера,"2023, Великобритания, Приключения","4,1",https://www.ivi.ru/watch/506249
185,Король улиц,"2023, Франция, Криминал","7,1",https://www.ivi.ru/watch/514452
186,Планета Максимус,"2023, Россия, Драмы","7,3",https://www.ivi.ru/watch/521940
187,Мой джинн,"2023, Казахстан, Комедии","7,7",https://www.ivi.ru/watch/514813
188,Любовь-морковь: Восстание машин,"2023, Россия, Комедии","7,2",https://www.ivi.ru/watch/498227
189,Мой пёс Руни,"2023, Южная Корея, Драмы","8,6",https://www.ivi.ru/watch/511416
190,Питомец Юрского периода. Утраченная тайна,"2023, США, Приключения","7,8",https://www.ivi.ru/watch/512472
191,Нечто. Монстр из глубин,"2023, Новая Зеландия, Ужасы","5,6",https://www.ivi.ru/watch/511524
192,Край надломленной луны,"2023, Россия, Драмы","6,7",https://www.ivi.ru/watch/522656
193,Концерт отменяется,"2023, Россия, Комедии","6,2",https://www.ivi.ru/watch/495080
194,Я всегда буду помнить ваши лица,"2023, Франция, Драмы","7,8",https://www.ivi.ru/watch/521947
195,Джонни и Клайд,"2023, США, Боевики","3,7",https://www.ivi.ru/watch/510679
196,Лукавый,"2023, США, Ужасы","5,0",https://www.ivi.ru/watch/522269
197,Здоровый человек,"2023, Россия, Драмы","7,8",https://www.ivi.ru/watch/497934
198,Девушка аким,"2023, Казахстан, Комедии","7,1",https://www.ivi.ru/watch/515197
199,Молодость,"2023, Россия, Драмы","4,6",https://www.ivi.ru/watch/501021
200,Гардемарины 1787. Война,"2023, Россия, Приключения","6,0",https://www.ivi.ru/watch/520602
201,Под прикрытием,"2023, США, Триллеры","8,0",https://www.ivi.ru/watch/528411
202,Телекинез,"2023, Россия, Триллеры","6,2",https://www.ivi.ru/watch/519708
203,Банды Парижа,"2023, Франция, Боевики","6,6",https://www.ivi.ru/watch/491605
204,Иллюзия побега,"2023, Дания, Триллеры","5,6",https://www.ivi.ru/watch/512587
205,Клипмейкеры,"2023, Россия, Комедии","5,7",https://www.ivi.ru/watch/500728
206,Голда. Судный день,"2023, Великобритания, Драмы","7,4",https://www.ivi.ru/watch/517047
207,Вакцина от коррупции (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","7,7",https://www.ivi.ru/watch/511356
208,Чекаго,"2023, Россия, Драмы","7,1",https://www.ivi.ru/watch/504522
209,Костолом,"2023, США, Боевики","7,4",https://www.ivi.ru/watch/520266
210,"Больше, чем люди","2023, Канада, Фантастика","6,6",https://www.ivi.ru/watch/509307
211,Лёгкое знакомство,"2023, Россия, Мелодрамы","6,2",https://www.ivi.ru/watch/504193
212,За 3 дня до Нового Года,"2023, Казахстан, Мелодрамы","7,1",https://www.ivi.ru/watch/521352
213,Чужой. Вторжение,"2023, Великобритания, Ужасы","3,2",https://www.ivi.ru/watch/511275
214,Эта любовь,"2023, Россия, Комедии","6,6",https://www.ivi.ru/watch/504518
215,Реинкарнация. Новая глава,"2023, Австралия, Ужасы","4,9",https://www.ivi.ru/watch/513707
216,Шкатулка проклятия. Шёпот ведьмы,"2023, США, Ужасы","4,8",https://www.ivi.ru/watch/513620
217,Телохранитель на фрилансе,"2023, США, Боевики","7,8",https://www.ivi.ru/watch/521945
218,Мой Хатико,"2023, Китай, Драмы","7,9",https://www.ivi.ru/watch/517198
219,Оружие,"2023, США, Боевики","7,9",https://www.ivi.ru/watch/oruzhie-2023
220,Лиза,"2023, Россия, Драмы","7,5",https://www.ivi.ru/watch/504248
221,Отпуск в октябре,"2023, Россия, Драмы","3,5",https://www.ivi.ru/watch/521942
222,Остров теней,"2023, Швеция, Триллеры","5,6",https://www.ivi.ru/watch/515448
223,Заклятье. Дом тьмы,"2023, Австрия, Ужасы","4,4",https://www.ivi.ru/watch/512982
224,Плохие парни,"2023, США, Триллеры","5,9",https://www.ivi.ru/watch/plohie-parni-2023
225,Миссия Ассасина,"2023, США, Боевики","5,6",https://www.ivi.ru/watch/506250
226,До рассвета,"2023, Россия, Комедии","5,3",https://www.ivi.ru/watch/512470
227,Чёрный шум,"2023, США, Боевики","6,6",https://www.ivi.ru/watch/chyornyij-shum
228,Молочная девочка,"2023, Казахстан, Мелодрамы","6,5",https://www.ivi.ru/watch/504120
229,Яростный волк,"2023, Испания, Драмы","5,9",https://www.ivi.ru/watch/513662
230,Дыхание мертвого леса,"2023, Россия, Драмы","6,2",https://www.ivi.ru/watch/513831
231,Проклятие. Посвящение,"2023, Великобритания, Ужасы","6,1",https://www.ivi.ru/watch/506531
232,СпимГоворим,"2023, Россия, Мелодрамы","5,8",https://www.ivi.ru/watch/506533
233,Дорога в один конец,"2023, Австралия, Триллеры","5,3",https://www.ivi.ru/watch/doroga-v-odin-konets
234,В паутине,"2023, Южная Корея, Драмы","7,4",https://www.ivi.ru/watch/523150
235,Дорога отчаяния,"2023, США, Боевики","7,8",https://www.ivi.ru/watch/521935
236,За гранью времени,"2023, США, Триллеры","5,0",https://www.ivi.ru/watch/509517
237,Выкуп,"2023, Южная Корея, Боевики","8,0",https://www.ivi.ru/watch/vyikup
238,Немая ярость,"2023, США, Боевики","7,6",https://www.ivi.ru/watch/523943
239,Проклятие. Дом с прислугой 2,"2023, Индонезия, Ужасы","4,6",https://www.ivi.ru/watch/513833
240,МаскЕрад,"2023, Россия, Мелодрамы","6,8",https://www.ivi.ru/watch/511274
241,Все страхи Бо,"2023, США, Ужасы","5,3",https://www.ivi.ru/watch/509174
242,Italian Best Shorts 5: Жизнь как чудо,"2023, Италия, Короткометражки","7,4",https://www.ivi.ru/watch/508505
243,Последний стрелок,"2023, Великобритания, Драмы","8,1",https://www.ivi.ru/watch/524912
244,Последняя сделка,"2023, США, Боевики","6,0",https://www.ivi.ru/watch/poslednyaya-sdelka
